ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"C00-97/C44","Allcancersexcl.non-melanomaskincancer","1567088","Notavailable","95.3","98.3","1.46"
"C50","Breast","387024","Notavailable","47.8","49.3","0.74"
"C53","Cervixuteri","155152","Notavailable","19.2","19.6","0.29"
"C73","Thyroid","154095","Notavailable","9.4","9.5","0.14"
"C18-21","Colorectum","85433","Notavailable","5.2","5.4","0.08"
"C22","Liver","61684","Notavailable","3.8","3.9","0.06"
"C82-86, C96","Non-Hodgkinlymphoma","53697","Notavailable","3.3","3.3","0.05"
"C00-06","Lip,oralcavity","52413","Notavailable","3.2","3.3","0.05"
"C91-95","Leukaemia","48463","Notavailable","2.9","3.0","0.04"
"C33-34","Lung","47635","Notavailable","2.9","3.1","0.05"
"C56","Ovary","47524","Notavailable","5.9","6.0","0.09"
"C16","Stomach","44381","Notavailable","2.7","2.8","0.04"
"C70-72","Brain,centralnervoussystem","42136","Notavailable","2.6","2.6","0.04"
"C43","Melanomaofskin","35774","Notavailable","2.2","2.2","0.03"
"C54","Corpusuteri","33683","Notavailable","4.2","4.4","0.07"
"C62","Testis","30137","Notavailable","3.6","3.6","0.05"
"C64-65","Kidney","28685","Notavailable","1.7","1.8","0.03"
"C11","Nasopharynx","26477","Notavailable","1.6","1.7","0.02"
"C15","Oesophagus","21284","Notavailable","1.3","1.4","0.02"
"C81","Hodgkinlymphoma","18625","Notavailable","1.1","1.1","0.02"
"C67","Bladder","12934","Notavailable","0.79","0.82","0.01"
"C46","Kaposisarcoma","12541","Notavailable","0.76","0.76","0.01"
"C25","Pancreas","10730","Notavailable","0.65","0.68","0.01"
"C32","Larynx","7924","Notavailable","0.48","0.51","0.01"
"C09-10","Oropharynx","6830","Notavailable","0.42","0.44","0.01"
"C07-08","Salivaryglands","6667","Notavailable","0.41","0.41","0.01"
"C12-13","Hypopharynx","6335","Notavailable","0.39","0.40","0.01"
"C88+C90","Multiplemyeloma","6324","Notavailable","0.38","0.40","0.01"
"C23","Gallbladder","6202","Notavailable","0.38","0.39","0.01"
"C61","Prostate","4337","Notavailable","0.52","0.56","0.01"
"C51","Vulva","4021","Notavailable","0.50","0.51","0.01"
"C60","Penis","3466","Notavailable","0.42","0.43","0.01"
"C52","Vagina","1808","Notavailable","0.22","0.23","0.00"
"C45","Mesothelioma","1111","Notavailable","0.07","0.07","0.00"
