ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"C00-97/C44","Allcancersexcl.non-melanomaskincancer","4631771","Notavailable","352.8","344.0","5.30"
"C50","Breast","806866","Notavailable","122.8","121.2","1.85"
"C33-34","Lung","469679","Notavailable","35.8","34.4","0.56"
"C18-21","Colorectum","428354","Notavailable","32.6","31.6","0.51"
"C22","Liver","267172","Notavailable","20.3","19.8","0.31"
"C16","Stomach","251937","Notavailable","19.2","18.6","0.30"
"C53","Cervixuteri","231896","Notavailable","35.3","35.1","0.53"
"C73","Thyroid","208029","Notavailable","15.8","15.8","0.24"
"C61","Prostate","193289","Notavailable","29.5","27.8","0.48"
"C15","Oesophagus","158584","Notavailable","12.1","11.6","0.19"
"C54","Corpusuteri","148963","Notavailable","22.7","22.1","0.35"
"C82-86, C96","Non-Hodgkinlymphoma","128010","Notavailable","9.7","9.5","0.15"
"C00-06","Lip,oralcavity","120712","Notavailable","9.2","9.0","0.14"
"C64-65","Kidney","116943","Notavailable","8.9","8.7","0.14"
"C56","Ovary","104127","Notavailable","15.9","15.6","0.24"
"C67","Bladder","93292","Notavailable","7.1","6.8","0.11"
"C91-95","Leukaemia","89072","Notavailable","6.8","6.6","0.10"
"C25","Pancreas","86542","Notavailable","6.6","6.3","0.10"
"C70-72","Brain,centralnervoussystem","82198","Notavailable","6.3","6.1","0.10"
"C43","Melanomaofskin","76268","Notavailable","5.8","5.7","0.09"
"C32","Larynx","57543","Notavailable","4.4","4.2","0.07"
"C11","Nasopharynx","53455","Notavailable","4.1","4.0","0.06"
"C88+C90","Multiplemyeloma","38129","Notavailable","2.9","2.8","0.05"
"C09-10","Oropharynx","37022","Notavailable","2.8","2.7","0.04"
"C12-13","Hypopharynx","28059","Notavailable","2.1","2.1","0.03"
"C23","Gallbladder","24760","Notavailable","1.9","1.8","0.03"
"C81","Hodgkinlymphoma","15070","Notavailable","1.1","1.1","0.02"
"C07-08","Salivaryglands","13855","Notavailable","1.1","1.0","0.02"
"C62","Testis","12997","Notavailable","2.0","2.0","0.03"
"C60","Penis","9741","Notavailable","1.5","1.4","0.02"
"C51","Vulva","8907","Notavailable","1.4","1.3","0.02"
"C46","Kaposisarcoma","6608","Notavailable","0.50","0.51","0.01"
"C45","Mesothelioma","4860","Notavailable","0.37","0.36","0.01"
"C52","Vagina","4709","Notavailable","0.72","0.70","0.01"
